
    |           BAT_NAME|     RA|    DEC|    SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|GAMM|GAMM|GAMM|  CHI_SQ_R|REDSHIF|  LUM|ASSOC_STREN|        CL2|                 TYPE
    |                   |    deg|    deg|       |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |    |    |    |          |       |log[e|           |           |                     
  71|SWIFT J0122.9+3420 | 20.783| 34.380|   9.33|SHBL J012308.7+342049         |2E 0120.3+3404                 | 20.7860| 34.3469|   13.36|   10.21|   16.92| 0.00|2.67|2.27|3.19|      1.00| 0.2720|45.49|          0|          7|BL Lac               
  72|SWIFT J0123.8-3504 | 20.944|-35.071|  28.76|NGC 526A                      |                               | 20.9766|-35.0654|   63.25|   59.04|   67.54| 0.00|1.79|1.70|1.87|      2.00| 0.0191|43.72|          0|          4|Sy1.5                
  73|SWIFT J0123.9-5846 | 20.947|-58.785|  27.41|Fairall 9                     |                               | 20.9408|-58.8057|   49.46|   45.98|   53.03| 0.00|2.03|1.94|2.13|      2.30| 0.0470|44.41|          0|          4|Sy1                  
  74|SWIFT J0124.5+3350 | 21.110| 33.775|   9.80|NGC 513                       |                               | 21.1119| 33.7995|   20.35|   16.24|   24.79| 0.00|1.90|1.64|2.20|      0.60| 0.0195|43.24|          4|          5|Sy2                  
  75|SWIFT J0126.0+3511 | 21.473| 35.171|   5.04|1RXS J012556.6+351039         |                               | 21.4832| 35.1761|    9.83|    6.23|   14.06| 0.00|2.03|1.53|2.62|      1.50| 0.3120|45.49|          0|          8|QSO                  
  76|SWIFT J0126.2+1517 | 21.489| 15.275|   6.16|RHS 10                        |                               | 21.4919| 15.3038|   13.36|    9.36|   17.83| 0.00|2.00|1.60|2.48|      1.90| 0.1110|44.63|          0|          4|Sy1                  
  77|SWIFT J0127.5+1910 | 21.877| 19.173|   7.39|Mrk 359                       |                               | 21.8856| 19.1788|   13.32|    9.87|   17.21| 0.00|2.36|1.99|2.83|      2.20| 0.0174|42.96|          0|          4|Sy1.5                
  78|SWIFT J0128.0-1850 | 22.001|-18.826|   8.77|MCG -03-04-072                |                               | 22.0280|-18.8086|   19.74|   15.39|   24.46| 0.00|1.90|1.59|2.25|      0.60| 0.0460|43.99|          0|          4|Sy1/NLSy1            
  79|SWIFT J0128.4+1631 | 22.098| 16.502|   6.44|CGCG 459-058                  |                               | 22.1017| 16.4593|   14.72|   10.56|   19.36| 0.00|1.89|1.51|2.31|      0.80| 0.0386|43.71|          0|          2|Galaxy               
  80|SWIFT J0128.9-6039 | 22.192|-60.653|   5.48|2MASX J01290761-6038423       |                               | 22.2818|-60.6450|    9.40|    6.29|   12.96| 0.00|2.10|1.65|2.65|      0.70|-1.0000| NULL|          0|          2|Galaxy               
  81|SWIFT J0130.0-4218 | 22.430|-42.324|   6.06|ESO 244-IG 030                |                               | 22.4636|-42.3265|    8.86|    6.00|   12.23| 0.00|2.43|1.95|3.07|      0.20| 0.0256|43.12|          0|          5|Sy2                  
  82|SWIFT J0130.2-4552 | 22.539|-45.843|   4.86|2MASX J01302127-4601448       |                               | 22.5887|-46.0292|    6.72|    2.98|   11.28| 0.00|1.58|0.74|2.47|      0.70|-1.0000| NULL|          0|          2|Galaxy               
  83|SWIFT J0131.8-3307 | 22.980|-33.071|   6.86|ESO 353- G 009                |                               | 22.9601|-33.1193|   14.41|   10.49|   18.74| 0.00|1.85|1.48|2.25|      0.70| 0.0165|42.95|          0|          5|Sy2                  
  84|SWIFT J0134.1-3625 | 23.481|-36.504|  22.32|NGC 612                       |                               | 23.4906|-36.4933|   54.99|   50.56|   59.53| 0.00|1.56|1.46|1.67|      1.20| 0.0298|44.05|          0|          5|Sy2                  
  85|SWIFT J0134.8-0430 | 23.697| -4.520|   9.32|2MASX J01344565-0430134       |1RXS J013445.2-043017          | 23.6902| -4.5036|   22.68|   18.06|   27.62| 0.00|1.68|1.42|1.97|      1.60| 0.0790|44.54|          0|          6|AGN                  
  86|SWIFT J0136.5+3906 | 24.123| 39.152|   4.85|B3 0133+388                   |                               | 24.1354| 39.0999|   11.88|    7.53|   16.80| 0.00|1.60|1.08|2.15|      0.70|-1.0000| NULL|          0|          7|BL Lac               
  87|SWIFT J0138.6-4001 | 24.659|-39.991|  32.94|ESO 297-018                   |                               | 24.6548|-40.0114|   68.66|   64.61|   72.80| 0.00|1.76|1.68|1.84|      2.80| 0.0252|44.00|          0|          5|Sy2                  
  88|SWIFT J0138.8+2925 | 24.677| 29.440|   4.90|2MASX J01392400+2924067       |IRAS F01365+2908               | 24.8500| 29.4019|    6.33|    3.08|   10.81| 0.00|2.38|1.54|3.70|      0.80| 0.0759|43.95|          0|          2|Galaxy               
  89|SWIFT J0140.6-5321 | 25.161|-53.344|   7.98|2MASX J01402676-5319389       |                               | 25.1116|-53.3276|   12.44|    9.38|   15.88| 0.00|2.25|1.89|2.66|      0.10| 0.0744|44.23|          0|          5|Sy2                  
  90|SWIFT J0142.0+3922 | 25.484| 39.385|   6.57|B2 0138+39B                   |                               | 25.4906| 39.3914|   13.61|    9.58|   18.16| 0.00|1.95|1.53|2.44|      0.60| 0.0800|44.33|          0|          4|Sy1                  
  91|SWIFT J0146.0+6143 | 26.548| 61.747|  25.49|PSR J0146+61                  |                               | 26.5934| 61.7509|  109.10|  103.55|  114.71| 0.00|0.91|0.84|0.99|      1.70| 0.0000| NULL|          0|         10|AXP                  
  92|SWIFT J0149.2+2153A| 27.291| 21.858|   6.83|2MASX J01485967+2145343       |                               | 27.2487| 21.7593|    8.69|    0.00|    0.00| 0.23|2.14|0.00|0.00|      1.50|-1.0000| NULL|          0|          2|Galaxy               
  93|SWIFT J0149.2+2153B| 27.291| 21.858|   6.83|NGC 678                       |                               | 27.3536| 21.9973|    8.17|    0.00|    0.00| 0.26|1.86|0.00|0.00|      0.70| 0.0095|42.21|          0|          2|Galaxy               
  94|SWIFT J0149.9-5019 | 27.384|-50.339|   5.72|2MASX J01492228-5015073       |                               | 27.3428|-50.2521|   12.54|    8.36|   17.17| 0.00|1.46|0.99|1.96|      0.90|-1.0000| NULL|          0|          2|Galaxy               
  95|SWIFT J0151.3-3610 | 27.888|-36.196|   4.96|ESO 354- G 004                |                               | 27.9245|-36.1878|    8.22|    5.08|   11.95| 0.00|2.23|1.70|2.96|      0.40| 0.0335|43.33|          0|          5|Sy1                  
  96|SWIFT J0152.8-0329 | 28.211| -3.415|  10.71|MCG -01-05-047                |                               | 28.2042| -3.4468|   22.86|   18.77|   27.26| 0.00|1.92|1.69|2.17|      2.00| 0.0172|43.18|          0|          5|Sy2                  
  97|SWIFT J0154.9-2707 | 28.652|-27.141|   8.93|2MASSi J0154403-270701        |                               | 28.6679|-27.1169|   15.33|   11.86|   19.15| 0.00|2.20|1.89|2.57|      0.40| 0.7900|46.65|          0|          8|QSO                  
  98|SWIFT J0155.4+0228 | 28.841|  2.486|   5.86|1ES 0152+022                  |                               | 28.8538|  2.4712|   11.33|    7.59|   15.62| 0.00|2.13|1.67|2.69|      0.10| 0.0820|44.28|          0|          4|Sy1                  
  99|SWIFT J0157.2+4715 | 29.260| 47.272|   6.87|2MASX J01571097+4715588       |                               | 29.2956| 47.2666|   15.97|   11.93|   20.38| 0.00|1.82|1.48|2.18|      0.80| 0.0000| NULL|          0|          2|Galaxy               
 100|SWIFT J0157.8-7300 | 29.298|-73.003|   5.87|IGR J01572-7259               |                               | 29.3173|-72.9757|    8.68|    5.85|   12.04| 0.00|2.52|2.00|3.22|      1.10| 0.0000| NULL|          0|         13|HMXB                 
 101|SWIFT J0200.3+2428 | 30.122| 24.476|   5.75|UGC 01479                     |                               | 30.0794| 24.4737|   14.36|    9.76|   19.47| 0.00|1.75|1.30|2.25|      1.10| 0.0164|42.94|          0|          5|Sy2                  
 102|SWIFT J0201.0-0648 | 30.262| -6.806|  35.32|NGC 788                       |                               | 30.2769| -6.8155|   80.13|   75.65|   84.71| 0.00|1.81|1.74|1.88|      3.00| 0.0136|43.52|          4|          5|Sy2                  
 103|SWIFT J0202.4+6824A| 30.601| 68.393|   4.96|2MASX J02021731+6821460       |                               | 30.5720| 68.3620|   11.53|    0.00|    0.00| 0.20|1.20|0.00|0.00|      3.10| 0.0119|42.56|          0|          2|Galaxy               
 104|SWIFT J0202.4+6824B| 30.601| 68.393|   4.96|2MASX J02013241+6824219       |                               | 30.3850| 68.4061|    7.68|    0.00|    0.00| 3.68|1.39|0.00|0.00|      1.40| 0.0152|42.60|          0|          2|Galaxy               
 105|SWIFT J0203.1-2359 | 30.754|-24.033|   6.27|1RXS J020301.2-240213         |                               | 30.7537|-24.0367|   10.78|    7.41|   14.72| 0.00|2.28|1.81|2.87|      0.60| 0.1781|44.98|          0|          4|Sy1.5                
